gauge_id;q_mean;runoff_ratio;slope_fdc;baseflow_index;stream_elas;q5;q95;high_q_freq;high_q_dur;low_q_freq;low_q_dur;zero_q_freq;hfd_mean
01013500;1.69915450753356;0.543437466590222;1.52821853538976;0.585225955779508;1.84532416164806;0.241106126475711;6.37302139711473;6.1;8.71428571428571;41.35;20.1707317073171;0.0;207.25
01333000;2.06808960800025;0.55824317757751;1.56615022672064;0.552807239524409;1.5802110955801;0.218132627099572;6.63123186382699;4.6;1.50819672131148;50.6;10.019801980198;0.0;165.9
02046000;0.856972205471274;0.262162102804243;1.67915217985902;0.442150939270661;2.2975051952435;0.0152635379938578;3.05949139343548;15.75;2.42307692307692;122.95;19.8306451612903;0.0004106776180698;164.9
03010655;1.49695524422339;0.455751399378086;1.92701760457862;0.493939565322932;1.50491123918167;0.0817320080850684;4.96930609157215;8.5;2.65625;93.2;14.912;0.0;159.05
03439000;3.16323217196459;0.568857600939258;1.18060466137091;0.720916167067827;1.37562779769927;0.876368919880916;7.19991840739664;1.35;1.22727272727273;2.15;6.14285714285714;0.0;168.95
04015330;0.966809592976023;0.431649939229559;0.991232798217399;0.337148285389299;1.9241431455145;0.0338060360650826;4.74156918745093;38.55;4.53529411764706;153.6;20.7567567567568;0.0108145106091718;202.0
05057200;0.0630878881278403;0.043455554821798;0.790821924955169;0.393806328952924;3.01154187266678;0.0006060571995424;0.241133396413711;43.4;17.0196078431373;200.35;45.0224719101124;0.0216290212183436;207.95
05291000;0.218208322329203;0.125753255211332;0.778985198466787;0.414744394614876;3.15774959562264;0.0077128902924311;0.852157515339507;32.8;8.74666666666667;153.0;32.2105263157895;0.0;209.45
06221400;1.46290547959414;0.943420045715152;2.33513241353852;0.633986640100749;0.513287151691224;0.0579757238281706;5.42180380244929;75.9;15.4897959183673;175.85;66.3584905660377;0.0;278.95
07057500;1.25811720103166;0.385775030276138;1.18549195984699;0.699977298700166;1.79648821015169;0.466993492119529;3.13792749381035;2.55;1.5;0.0;0.0;0.0;182.85
07291000;1.31414378444056;0.307534556489653;0.765081556896376;0.375506809267263;1.68900645486443;0.209283533001253;3.9233005723113;19.85;1.87264150943396;75.05;8.29281767955801;0.0;155.15
08023080;1.08559291456922;0.269821958678364;0.46958197419937;0.174084917238991;2.68410432625795;0.0;6.0456927824552;66.15;4.97368421052632;249.3;21.9647577092511;0.143326488706365;148.25
08267500;0.879731588099682;0.524049440519494;1.05058184868537;0.692315104175467;2.45209353608724;0.203330608397989;3.30412238646732;12.2;13.5555555555556;7.5;3.06122448979592;0.0;234.65
09035900;1.13450003393676;0.475192455880072;0.717728558596199;0.611368586678887;1.2878218551518;0.235118462641977;5.20619452992949;29.65;17.4411764705882;14.6;16.2222222222222;0.0;253.4
09386900;0.0584121949502781;0.0481175979052244;0.0892182424488193;0.218770458885681;3.73972077881536;0.0;0.22489339393495;59.15;8.45;303.65;41.8827586206897;0.163586584531143;185.3
10234500;0.477440099317254;0.268352729963186;0.853856596868285;0.701975058169269;1.88700871045711;0.155226432548989;1.54191589665329;10.25;15.7692307692308;0.0;0.0;0.0;233.0
10259000;0.287811268751084;0.274548383200421;1.03221378369726;0.717716627793638;0.897685382356582;0.0446614413924759;0.80608455196176;6.55;5.45833333333333;27.5;13.4146341463415;0.0;150.55
12010000;7.19687016694046;0.9077853632617;1.76787819416244;0.504302691744989;1.1913095539664;0.499020191453898;26.843844781658;13.8;2.37931034482759;104.85;23.3;0.0;113.05
