gauge_id;p_mean;pet_mean;p_seasonality;frac_snow;aridity;high_prec_freq;high_prec_dur;high_prec_timing;low_prec_freq;low_prec_dur;low_prec_timing
01013500;3.12667898699521;1.97155451060917;0.187940258706929;0.313440357191799;0.63055865946247;12.95;1.34895833333333;son;202.2;3.4271186440678;mam
01333000;3.7046392881588;2.21271838466804;0.146314738839023;0.222244968016498;0.597283085492449;19.0;1.21019108280255;son;227.9;3.40912490650711;son
02046000;3.26886379192334;2.74904113620808;0.130911756579488;0.0453728268084367;0.840977572390861;22.85;1.20263157894737;son;260.15;4.57205623901582;son
03010655;3.28458726899384;2.26130887063655;0.205555259955749;0.207261759338099;0.688460584373285;17.2;1.16610169491525;jja;207.55;2.95234708392603;jja
03439000;5.56067488021903;2.71938744695414;0.0210712593748749;0.0374660918206049;0.489039101463711;18.9;1.20382165605096;djf;231.5;4.12288512911843;son
04015330;2.23980013689254;1.95845498973306;0.590786400549574;0.196079390089318;0.874388280219585;20.8;1.37748344370861;jja;250.85;4.47147950089127;djf
05057200;1.45177960301164;2.03825073237509;0.916413868842179;0.141789208175196;1.40396705405342;24.85;1.44057971014493;jja;296.85;7.40274314214464;djf
05291000;1.73521013004791;2.23716446269678;0.75120196348746;0.148874500915531;1.28927581965823;24.25;1.38176638176638;jja;288.1;6.5551763367463;djf
06221400;1.55064065708419;3.00475832991102;0.0108231064378987;0.714826752405444;1.93775283537396;22.75;1.45833333333333;mam;274.2;6.26742857142857;jja
07057500;3.26127173169062;2.77348156057495;0.0252425344420412;0.0564394367095807;0.850429460883099;25.55;1.2775;mam;273.8;5.42178217821782;djf
07291000;4.27315811088296;3.19138134154689;-0.165164818260007;0.003569389743915;0.746843729797645;24.35;1.27821522309711;djf;267.6;5.28853754940711;son
08023080;4.02336755646817;3.22166947296372;-0.210385474855854;0.0072046599774758;0.800739536656153;24.0;1.27320954907162;djf;269.85;5.46255060728745;son
08267500;1.67871868583162;3.55741331964408;0.294762967177555;0.471388008193727;2.11912415681593;26.9;1.46994535519126;jja;285.05;7.17106918238994;son
09035900;2.38745379876797;3.43485352498289;-0.228658264310239;0.689823885415144;1.43870994561462;13.1;1.31658291457286;mam;231.2;4.70396744659207;jja
09386900;1.21394661190965;3.00467045859001;0.141078799713188;0.307507544080434;2.47512570084394;32.7;1.59512195121951;jja;308.35;10.0603588907015;mam
10234500;1.77915126625599;3.67239080082136;-0.307748403888196;0.632069679226265;2.06412510868143;26.9;1.43466666666667;djf;288.2;7.59420289855072;jja
10259000;1.04830800821355;3.13322061601643;-1.34307951369627;0.0335249004621377;2.98883590649644;18.55;1.75829383886256;djf;343.55;29.114406779661;jja
12010000;7.92794250513347;1.96712090349076;-0.761099630000785;0.0236362361738051;0.248125021368031;9.35;1.3169014084507;djf;169.9;4.32315521628499;jja
