gauge_id;slope_mean_noahmp;vcmx25_mean;mfsno_mean;cwpvt_mean
01333000;0.178413728;79.5547785;0.6363326;0.18531196
02046000;0.012928886;44.50063006;2.0;0.172031997
03010655;0.030928898;65.02592856;3.935648289;0.342733745
03439000;0.276643568;74.99655716;1.998690032;0.115401432
04015330;0.006482521;53.83703877;2.889773415;0.352525212
05057200;0.024146678;67.99197424;0.809274058;0.32558288
05291000;0.061345188;83.65908706;3.366849797;0.113392922
06221400;0.256677733;55.85450562;0.654669633;0.092943539
07057500;0.22958704;36.68880582;2.001616862;0.111112351
07291000;0.021555229;46.65993909;2.0;0.110980955
08023080;0.001888219;71.72385274;2.0;0.10370472
08267500;0.887340146;33.07004408;3.480335986;0.337197514
09035900;0.331872851;63.766883;2.035740432;0.210993893
09386900;0.017404577;66.56469209;3.161905666;0.155801543
10234500;0.287821565;69.32220634;3.670620688;0.09808115
10259000;0.003705768;56.23753081;1.985517251;0.118321866
12010000;0.081573387;60.74115299;2.0;0.349416711
