  31.70
 132.00
 468587461
Year Mnth Day Hr	Dayl(s)	PRCP(mm/day)	SRAD(W/m2)	SWE(mm)	Tmax(C)	Tmin(C)	Vp(Pa)
1993 09 29 12	42163.20	0.00	516.56	0.00	20.86	20.86	1386.87
1993 09 30 12	42163.20	0.00	518.32	0.00	18.74	18.74	1330.05
1993 10 01 12	41817.60	0.00	514.53	0.00	19.17	19.17	1432.15
1993 10 02 12	41817.60	0.59	451.53	0.00	21.55	21.55	1850.50
1993 10 03 12	41817.60	0.00	361.62	0.00	22.33	22.33	1934.34
1993 10 04 12	41472.00	0.01	459.06	0.00	20.87	20.87	1680.13
1993 10 05 12	41472.00	0.00	450.58	0.00	22.92	22.92	1697.72
1993 10 06 12	41472.00	0.00	503.99	0.00	21.45	21.45	1497.93
1993 10 07 12	41126.40	0.00	464.43	0.00	21.74	21.74	1691.67
1993 10 08 12	41126.40	0.00	470.73	0.00	22.22	22.22	2019.38
1993 10 09 12	41126.40	0.37	431.98	0.00	23.81	23.81	2195.88
1993 10 10 12	40780.80	0.00	500.25	0.00	17.65	17.65	1505.02
1993 10 11 12	40780.80	0.23	386.44	0.00	13.95	13.95	1079.08
1993 10 12 12	40780.80	6.00	250.39	0.00	13.88	13.88	1186.65
1993 10 13 12	40435.20	6.82	264.62	0.00	15.97	15.97	1581.75
1993 10 14 12	40435.20	12.33	364.51	0.00	17.78	17.78	1761.67
1993 10 15 12	40435.20	0.32	311.92	0.00	19.47	19.47	1932.76
1993 10 16 12	40089.60	0.95	363.42	0.00	21.26	21.26	2136.89
1993 10 17 12	40089.60	0.91	414.18	0.00	24.68	24.68	2394.54
1993 10 18 12	40089.60	1.95	409.14	0.00	25.87	25.87	2413.96
1993 10 19 12	39744.00	1.31	337.88	0.00	24.11	24.11	2374.77
1993 10 20 12	39744.00	6.85	277.85	0.00	25.15	25.15	2603.41
1993 10 21 12	39744.00	13.75	135.85	0.00	17.82	17.82	1850.53
1993 10 22 12	39442.44	4.27	248.08	0.00	11.65	11.65	1107.06
1993 10 23 12	39398.40	0.09	468.61	0.00	14.71	14.71	1184.03
1993 10 24 12	39398.40	0.00	332.41	0.00	17.83	17.83	1606.38
1993 10 25 12	39377.32	0.00	254.68	0.00	19.87	19.87	1848.30
1993 10 26 12	39052.80	0.00	455.34	0.00	20.01	20.01	1728.21
1993 10 27 12	39052.80	0.00	288.85	0.00	18.00	18.00	1484.02
1993 10 28 12	39052.80	0.00	451.52	0.00	14.71	14.71	1091.71
1993 10 29 12	38707.20	39.63	189.71	0.00	16.53	16.53	1700.41
1993 10 30 12	38707.20	23.69	237.86	0.00	8.67	8.67	1069.28
1993 10 31 12	38707.20	0.00	308.71	0.00	3.06	3.06	472.68
1993 11 01 12	38405.65	0.00	414.23	0.00	4.51	4.51	485.75
1993 11 02 12	38361.60	0.00	371.59	0.00	7.82	7.82	720.35
1993 11 03 12	38361.60	0.75	101.58	0.00	12.76	12.76	1260.99
1993 11 04 12	38361.60	3.29	192.95	0.00	17.26	17.26	1773.99
1993 11 05 12	38016.00	8.74	189.22	0.00	21.07	21.07	2171.25
1993 11 06 12	38016.00	1.60	326.90	0.00	9.12	9.12	867.26
1993 11 07 12	38016.00	0.00	401.33	0.00	2.70	2.70	483.97
1993 11 08 12	37994.92	0.02	370.92	0.00	6.31	6.31	609.95
1993 11 09 12	37670.40	5.28	145.14	0.00	11.35	11.35	1154.94
1993 11 10 12	37670.40	0.02	304.70	0.00	14.08	14.08	1100.32
1993 11 11 12	37670.40	0.00	380.81	0.00	13.67	13.67	932.59
1993 11 12 12	37649.32	0.00	320.00	0.00	16.12	16.12	1520.29
1993 11 13 12	37324.80	1.68	228.42	0.00	22.05	22.05	2282.88
1993 11 14 12	37324.80	33.57	169.56	0.00	23.25	23.25	2438.12
1993 11 15 12	37324.80	74.88	89.02	0.00	19.26	19.26	2089.53
1993 11 16 12	37324.80	13.28	201.20	0.00	19.15	19.15	1974.07
1993 11 17 12	36982.58	48.41	290.98	0.00	17.63	17.63	1775.47
1993 11 18 12	36979.20	0.00	360.48	0.00	10.14	10.14	1015.43
1993 11 19 12	36979.20	0.00	273.01	0.00	13.96	13.96	1363.70
1993 11 20 12	36979.20	0.00	369.71	0.00	11.25	11.25	961.98
1993 11 21 12	36958.12	0.00	371.87	0.00	5.61	5.61	542.79
1993 11 22 12	36633.60	0.00	368.54	0.00	7.73	7.73	612.02
1993 11 23 12	36633.60	0.00	356.73	0.00	10.78	10.78	899.79
1993 11 24 12	36633.60	0.00	342.26	0.00	15.02	15.02	1210.97
1993 11 25 12	36633.60	0.13	294.52	0.00	17.22	17.22	1360.99
1993 11 26 12	36633.60	1.25	192.47	0.00	10.16	10.16	1112.07
1993 11 27 12	36413.40	3.40	364.38	0.00	5.05	5.05	646.45
1993 11 28 12	36288.00	0.00	358.14	0.00	6.18	6.18	546.99
1993 11 29 12	36288.00	0.00	326.34	0.00	10.26	10.26	745.59
1993 11 30 12	36288.00	0.00	347.86	0.00	12.02	12.02	809.45
1993 12 01 12	36288.00	0.00	339.26	0.00	11.90	11.90	984.97
1993 12 02 12	36288.00	0.13	246.05	0.00	15.29	15.29	1444.03
1993 12 03 12	36288.00	4.44	132.67	0.00	17.36	17.36	1771.71
1993 12 04 12	36067.80	15.83	191.59	0.00	17.03	17.03	1677.74
1993 12 05 12	35942.40	0.00	321.45	0.00	10.36	10.36	940.20
1993 12 06 12	35942.40	0.00	308.23	0.00	9.88	9.88	848.20
1993 12 07 12	35942.40	0.00	335.57	0.00	7.17	7.17	721.39
1993 12 08 12	35942.40	0.00	209.20	0.00	13.26	13.26	1096.03
1993 12 09 12	35942.40	0.25	104.54	0.00	15.85	15.85	1381.34
1993 12 10 12	35942.40	16.19	234.33	0.00	18.09	18.09	1781.80
1993 12 11 12	35942.40	0.00	339.96	0.00	9.53	9.53	834.78
