  42.54
 482.00
 110286331
Year Mnth Day Hr	Dayl(s)	PRCP(mm/day)	SRAD(W/m2)	SWE(mm)	Tmax(C)	Tmin(C)	Vp(Pa)
1993 09 29 12	41817.60	5.09	273.63	0.00	8.72	8.72	834.45
1993 09 30 12	41472.00	0.16	280.74	0.00	6.26	6.26	683.96
1993 10 01 12	41472.00	0.40	424.93	0.00	6.27	6.27	662.35
1993 10 02 12	41126.40	3.69	183.75	0.00	8.93	8.93	955.82
1993 10 03 12	41126.40	10.09	296.50	0.00	9.90	9.90	1008.37
1993 10 04 12	40780.80	2.11	212.03	0.00	8.01	8.01	834.07
1993 10 05 12	40780.80	3.74	285.96	0.00	7.65	7.65	872.19
1993 10 06 12	40435.20	0.00	352.99	0.00	6.89	6.89	698.57
1993 10 07 12	40435.20	0.00	390.53	0.00	12.45	12.45	1046.67
1993 10 08 12	40089.60	0.00	360.37	0.00	16.09	16.09	1406.14
1993 10 09 12	40089.60	2.00	313.09	0.00	16.41	16.41	1481.06
1993 10 10 12	39744.00	0.88	348.18	0.00	4.80	4.80	702.47
1993 10 11 12	39744.00	3.25	397.41	0.00	1.09	1.09	394.75
1993 10 12 12	39398.40	8.05	123.89	0.00	3.10	3.10	650.72
1993 10 13 12	39398.40	9.20	304.61	0.00	3.93	3.93	675.23
1993 10 14 12	39052.80	0.00	332.43	0.00	2.12	2.12	470.08
1993 10 15 12	39052.80	1.37	365.35	0.00	7.86	7.86	851.97
1993 10 16 12	38707.20	0.00	366.95	0.00	10.45	10.45	966.75
1993 10 17 12	38707.20	0.89	107.13	0.00	11.58	11.58	1231.42
1993 10 18 12	38361.60	1.34	348.89	0.00	12.11	12.11	1183.20
1993 10 19 12	38361.60	0.00	361.59	0.00	6.45	6.45	719.55
1993 10 20 12	38016.00	11.10	107.20	0.00	6.53	6.53	852.24
1993 10 21 12	38016.00	11.84	168.15	0.00	9.37	9.37	1112.72
1993 10 22 12	37670.40	1.98	289.14	0.00	7.05	7.05	749.75
1993 10 23 12	37670.40	0.00	286.52	0.00	4.18	4.18	582.32
1993 10 24 12	37324.80	0.00	356.04	0.00	5.68	5.68	606.64
1993 10 25 12	37324.80	0.00	351.66	0.00	8.33	8.33	695.34
