  39.63
3396.00
  70935339
Year Mnth Day Hr	Dayl(s)	PRCP(mm/day)	SRAD(W/m2)	SWE(mm)	Tmax(C)	Tmin(C)	Vp(Pa)
1993 09 29 12	41817.60	0.03	406.91	0.00	6.58	6.58	263.68
1993 09 30 12	41817.60	0.04	400.49	0.00	7.45	7.45	275.50
1993 10 01 12	41472.00	0.02	417.46	0.00	6.29	6.29	310.78
1993 10 02 12	41472.00	0.38	416.65	0.00	5.32	5.32	391.85
1993 10 03 12	41126.40	0.00	418.60	0.00	5.84	5.84	385.98
1993 10 04 12	41126.40	0.00	414.74	0.00	7.32	7.32	342.29
1993 10 05 12	40780.80	0.00	410.16	0.00	7.96	7.96	347.52
1993 10 06 12	40780.80	0.00	381.00	0.00	7.98	7.98	398.61
1993 10 07 12	40435.20	2.67	296.45	0.00	5.85	5.85	496.44
1993 10 08 12	40435.20	4.86	398.47	0.00	0.60	0.60	464.47
1993 10 09 12	40089.60	2.47	367.33	0.00	-0.30	-0.30	370.00
1993 10 10 12	40089.60	5.06	377.70	0.00	-2.12	-2.12	384.19
1993 10 11 12	40089.60	0.00	365.84	0.00	0.66	0.66	293.69
1993 10 12 12	39744.00	1.28	327.04	0.00	1.54	1.54	457.34
1993 10 13 12	39744.00	0.43	364.63	0.00	1.43	1.43	499.01
1993 10 14 12	39398.40	8.90	325.19	0.00	2.26	2.26	442.58
1993 10 15 12	39398.40	0.00	305.83	0.00	0.97	0.97	369.44
1993 10 16 12	39052.80	6.71	381.44	0.00	-0.40	-0.40	414.66
1993 10 17 12	39052.80	3.43	299.26	0.00	-0.20	-0.20	442.71
1993 10 18 12	38707.20	8.80	323.14	0.00	-2.07	-2.07	419.65
1993 10 19 12	38707.20	0.05	363.09	0.00	-2.38	-2.38	363.44
1993 10 20 12	38707.20	2.12	377.65	0.00	-2.59	-2.59	333.47
1993 10 21 12	38361.60	0.00	373.65	0.00	-0.77	-0.77	269.30
1993 10 22 12	38361.60	0.00	356.78	0.00	-0.46	-0.46	272.63
1993 10 23 12	38016.00	0.00	371.47	0.00	0.05	0.05	313.89
1993 10 24 12	38016.00	0.00	368.13	0.00	-0.17	-0.17	303.38
1993 10 25 12	37749.30	0.97	360.06	0.00	-0.11	-0.11	327.85
1993 10 26 12	37670.40	1.98	303.93	0.00	-4.43	-4.43	315.39
1993 10 27 12	37670.40	0.00	346.44	0.00	-4.83	-4.83	204.39
1993 10 28 12	37324.80	0.00	289.45	0.00	-1.23	-1.23	189.58
1993 10 29 12	37324.80	4.78	283.15	0.00	-7.96	-7.96	268.34
1993 10 30 12	36979.20	0.03	354.63	0.00	-10.87	-10.87	158.05
1993 10 31 12	36979.20	0.00	350.83	0.00	-2.23	-2.23	192.79
1993 11 01 12	36979.20	0.00	252.51	0.00	-2.01	-2.01	257.47
1993 11 02 12	36633.60	0.79	338.84	0.00	-6.94	-6.94	225.15
1993 11 03 12	36633.60	0.00	319.55	0.00	-3.29	-3.29	220.64
1993 11 04 12	36575.02	1.91	145.71	0.00	-4.06	-4.06	253.45
1993 11 05 12	36288.00	3.51	193.55	0.00	-9.85	-9.85	226.65
1993 11 06 12	36288.00	0.00	329.81	0.00	-11.16	-11.16	182.05
1993 11 07 12	35942.40	0.36	332.44	0.00	-8.91	-8.91	186.53
