  43.14
3521.00
 228339304
Year Mnth Day Hr	Dayl(s)	PRCP(mm/day)	SRAD(W/m2)	SWE(mm)	Tmax(C)	Tmin(C)	Vp(Pa)
1993 09 29 12	41817.60	0.34	386.54	0.00	5.78	5.78	323.48
1993 09 30 12	41472.00	0.57	375.69	0.00	6.12	6.12	253.52
1993 10 01 12	41126.40	0.00	365.65	0.00	3.72	3.72	295.65
1993 10 02 12	41126.40	0.00	395.35	0.00	3.41	3.41	356.92
1993 10 03 12	40780.80	0.00	398.91	0.00	6.29	6.29	311.67
1993 10 04 12	40780.80	0.00	390.81	0.00	6.65	6.65	308.79
1993 10 05 12	40435.20	0.50	374.90	0.00	7.03	7.03	308.44
1993 10 06 12	40435.20	1.90	271.50	0.00	6.03	6.03	425.02
1993 10 07 12	40089.60	34.19	241.37	0.00	2.50	2.50	499.16
1993 10 08 12	40089.60	18.27	293.72	0.00	-3.72	-3.72	378.59
1993 10 09 12	39744.00	7.38	294.44	0.00	-6.74	-6.74	281.11
1993 10 10 12	39744.00	2.19	378.37	0.00	-3.62	-3.62	318.11
1993 10 11 12	39398.40	0.69	340.05	0.00	0.07	0.07	313.86
1993 10 12 12	39398.40	0.00	316.15	0.00	1.34	1.34	377.30
1993 10 13 12	39052.80	0.05	270.10	0.00	0.79	0.79	385.21
1993 10 14 12	39052.80	1.89	278.24	0.00	-0.16	-0.16	340.28
1993 10 15 12	38707.20	0.25	272.85	0.00	-1.05	-1.05	323.62
1993 10 16 12	38707.20	0.18	320.59	0.00	-1.80	-1.80	327.31
1993 10 17 12	38361.60	1.67	290.48	0.00	-1.15	-1.15	331.70
1993 10 18 12	38361.60	4.35	354.17	0.00	-3.38	-3.38	354.92
1993 10 19 12	38016.00	0.00	345.98	0.00	-3.28	-3.28	281.68
1993 10 20 12	38016.00	1.93	353.52	0.00	-5.43	-5.43	224.73
1993 10 21 12	37670.40	0.30	337.57	0.00	-1.98	-1.98	201.71
1993 10 22 12	37670.40	0.35	318.55	0.00	0.44	0.44	219.18
1993 10 23 12	37324.80	0.11	339.06	0.00	0.32	0.32	265.42
1993 10 24 12	37324.80	0.13	330.95	0.00	1.35	1.35	271.96
1993 10 25 12	36979.20	0.00	283.66	0.00	-1.84	-1.84	219.54
1993 10 26 12	36979.20	0.43	335.43	0.00	-6.84	-6.84	214.65
1993 10 27 12	36662.71	0.30	319.04	0.00	-3.55	-3.55	152.12
1993 10 28 12	36633.60	4.47	163.97	0.00	-3.13	-3.13	260.80
1993 10 29 12	36541.14	1.25	333.29	0.00	-11.73	-11.73	192.43
1993 10 30 12	36288.00	0.00	319.91	0.00	-8.23	-8.23	111.70
1993 10 31 12	36288.00	0.08	309.71	0.00	-3.52	-3.52	212.02
1993 11 01 12	35942.40	0.19	194.95	0.00	-5.63	-5.63	194.95
1993 11 02 12	35942.40	1.03	249.50	0.00	-9.16	-9.16	159.61
1993 11 03 12	35596.80	0.05	260.83	0.00	-3.45	-3.45	208.97
1993 11 04 12	35596.80	0.56	227.73	0.00	-7.68	-7.68	213.17
1993 11 05 12	35280.31	9.44	245.30	0.00	-12.17	-12.17	182.74
1993 11 06 12	35251.20	0.08	313.24	0.00	-12.86	-12.86	129.61
1993 11 07 12	35251.20	0.08	289.23	0.00	-11.77	-11.77	150.81
1993 11 08 12	34905.60	0.00	305.97	0.00	-12.71	-12.71	153.15
1993 11 09 12	34905.60	0.03	308.55	0.00	-10.66	-10.66	155.84
1993 11 10 12	34560.00	0.03	281.16	0.00	-6.29	-6.29	180.50
1993 11 11 12	34560.00	0.00	301.16	0.00	-5.54	-5.54	177.50
1993 11 12 12	34560.00	2.79	240.83	0.00	-7.03	-7.03	226.73
1993 11 13 12	34214.40	4.39	234.82	0.00	-7.77	-7.77	276.63
1993 11 14 12	34214.40	8.20	276.79	0.00	-11.88	-11.88	200.79
1993 11 15 12	33984.18	0.06	294.90	0.00	-11.61	-11.61	142.09
