  36.55
3333.00
  93717492
Year Mnth Day Hr	Dayl(s)	PRCP(mm/day)	SRAD(W/m2)	SWE(mm)	Tmax(C)	Tmin(C)	Vp(Pa)
1993 09 29 12	41817.60	0.17	443.07	0.00	10.27	10.27	273.02
1993 09 30 12	41817.60	0.20	437.79	0.00	9.49	9.49	293.38
1993 10 01 12	41817.60	0.00	462.99	0.00	9.27	9.27	278.16
1993 10 02 12	41472.00	0.00	449.32	0.00	8.90	8.90	279.75
1993 10 03 12	41472.00	0.00	457.86	0.00	8.89	8.89	350.78
1993 10 04 12	41126.40	0.00	458.51	0.00	10.07	10.07	326.28
1993 10 05 12	41126.40	0.00	446.90	0.00	10.81	10.81	325.33
1993 10 06 12	41126.40	0.36	437.07	0.00	10.55	10.55	376.85
1993 10 07 12	40780.80	4.28	371.44	0.00	6.10	6.10	520.30
1993 10 08 12	40780.80	0.70	441.40	0.00	4.19	4.19	391.26
1993 10 09 12	40435.20	0.81	356.30	0.00	4.89	4.89	411.72
1993 10 10 12	40435.20	0.00	436.79	0.00	5.78	5.78	442.36
1993 10 11 12	40435.20	0.00	422.92	0.00	5.01	5.01	315.85
1993 10 12 12	40089.60	0.26	423.07	0.00	5.75	5.75	427.37
1993 10 13 12	40089.60	0.00	429.50	0.00	4.51	4.51	387.36
1993 10 14 12	39744.00	0.00	349.36	0.00	5.20	5.20	387.61
1993 10 15 12	39744.00	1.96	400.60	0.00	5.10	5.10	429.63
1993 10 16 12	39744.00	0.00	408.43	0.00	4.98	4.98	367.69
1993 10 17 12	39398.40	7.56	329.45	0.00	3.26	3.26	472.51
1993 10 18 12	39398.40	1.71	423.69	0.00	0.77	0.77	345.58
1993 10 19 12	39052.80	0.00	388.11	0.00	1.26	1.26	320.75
1993 10 20 12	39052.80	0.00	423.63	0.00	0.66	0.66	295.96
1993 10 21 12	39052.80	0.00	417.24	0.00	1.69	1.69	242.80
1993 10 22 12	38707.20	0.00	411.34	0.00	3.70	3.70	240.54
1993 10 23 12	38707.20	0.00	376.44	0.00	5.04	5.04	237.97
